Park Guide Index,Real World Type,x-coor entrance,y-coor entrance,type
1,Long Coaster,47,11,Thrill
2,Metal Coaster,27,15,Thrill
3,Wooden Coaster,38,90,Thrill
4,SkyDiver,78,48,Thrill
5,Wild Mouse,16,66,Thrill
6,Centrifuge,86,44,Thrill
7,Fireball,17,43,Thrill
8,Up and Back Coaster,45,24,Thrill
81,Ali Baba,69,44,Thrill
9,Train (Blue),92,81,Kiddie
10,Paratrooper,81,77,Kiddie
11,Bumper Boats,73,79,Kiddie
12,Airplanes,73,84,Kiddie
13,Kiddie Wheel,79,87,Kiddie
14,Froggies,76,88,Kiddie
15,Strawberry Spin,79,89,Kiddie
16,Motorcycles,82,80,Kiddie
17,Balloons,83,88,Kiddie
18,Boats,85,86,Kiddie
19,Stone Cups,87,81,Kiddie
20,Train (Red),6,43,Everybody
21,Carousel,34,68,Everybody
22,Drive Cars,17,67,Everybody
23,Bumper Cars,16,49,Everybody
24,Log Flume,43,56,Everybody
25,Tilt A Whirl,26,59,Everybody
26,Scrambler,28,66,Everybody
27,Octopus,48,87,Everybody
28,Round Up,23,54,Everybody
29,Pirate Swing,87,48,Everybody
30,Water Rapids,78,37,Everybody
31,Whip,43,78,Everybody
32,Pavillion,32,33,Pavilion
33,Main Beer Garden,20,33,Beer Garden
34,Stage Beer Garden,79,25,Beer Garden
35,General Menu,59,46,Food
36,Sandwiches,35,15,Food
37,Coffee House,59,89,Food
38,Pizza,57,73,Food
39,Sweet Shoppe,87,68,Food
40,Dino Souvenirs,42,60,Shopping
41,Mercantile,57,64,Shopping
42,Game Stop,16,47,Shopping
43,Dino Souvenirs,44,25,Shopping
44,Toy Shop,69,72,Shopping
45,Dress Up Shop,56,80,Shopping
46,Tattoos,22,35,Shopping
47,Game Stop 2,69,58,Shopping
48,Magic Stand,29,67,Shopping
49,Bathroom 1,3,66,Restroom
50,Bathroom 2,52,28,Restroom
51,Bathroom 3,55,50,Restroom
52,Bathroom 4,76,73,Restroom
65,Bathroom 5,22,27,Restroom
66,Bathroom 6,72,20,Restroom
67,Bathroom 7,92,77,Restroom
53,BBQ,15,40,Food
54,Ice Cream,84,78,Food
55,Pop Corn,76,61,Food
56,Funnel Cake,43,75,Food
57,Ice Cream,42,20,Food
58,Pizza,47,79,Food
59,Fries,23,66,Food
60,Info Center 1,68,91,Info
61,Arcade 1,69,67,Arcade
62,First Aid 1,50,57,First Aid
63,Stage 1,76,22,Stage
64,Show Hall 1,87,63,Show Hall
100,North Entrance,63,99,Entrance
101,East Entrance,99,77,Entrance
102,West Entrance,0,67,Entrance
